Dates,Dates,MSLP,SIE,Unnamed: 3,Unnamed: 4,Unnamed: 5,year,day,month
10.0,4.0,3650.263454545455,18.605181818181816,,,,2017.0,4.0,10.0
10.0,5.0,3628.531245454546,18.58545454545455,,,,2017.0,5.0,10.0
10.0,6.0,3658.0220000000004,18.558545454545456,,,,2017.0,6.0,10.0
10.0,7.0,3667.5390545454543,18.527,,,,2017.0,7.0,10.0
10.0,8.0,3676.249981818182,18.498909090909088,,,,2017.0,8.0,10.0
10.0,9.0,3689.148809090909,18.48481818181818,,,,2017.0,9.0,10.0
10.0,10.0,3735.2432454545446,18.455454545454547,,,,2017.0,10.0,10.0
10.0,11.0,3786.0848727272723,18.411727272727276,,,,2017.0,11.0,10.0
10.0,12.0,3852.8156999999997,18.384636363636364,,,,2017.0,12.0,10.0
10.0,13.0,3852.6448727272727,18.339636363636362,,,,2017.0,13.0,10.0
10.0,14.0,3767.2940454545455,18.306181818181816,,,,2017.0,14.0,10.0
10.0,15.0,3732.805754545455,18.286090909090913,,,,2017.0,15.0,10.0
10.0,16.0,3681.6814545454545,18.25554545454545,,,,2017.0,16.0,10.0
10.0,17.0,3669.281963636364,18.186090909090908,,,,2017.0,17.0,10.0
10.0,18.0,3619.940345454546,18.13818181818182,,,,2017.0,18.0,10.0
10.0,19.0,3658.618618181818,18.074090909090913,,,,2017.0,19.0,10.0
10.0,20.0,3807.142054545455,18.00618181818182,,,,2017.0,20.0,10.0
10.0,21.0,3839.2226636363634,17.94845454545455,,,,2017.0,21.0,10.0
10.0,22.0,3667.0287636363632,17.903909090909092,,,,2017.0,22.0,10.0
10.0,23.0,3562.035481818182,17.857363636363633,,,,2017.0,23.0,10.0
10.0,24.0,3492.5667545454544,17.794636363636364,,,,2017.0,24.0,10.0
10.0,25.0,3531.830981818182,17.729181818181818,,,,2017.0,25.0,10.0
10.0,26.0,3611.8920454545446,17.680272727272726,,,,2017.0,26.0,10.0
10.0,27.0,3661.822436363636,17.613545454545456,,,,2017.0,27.0,10.0
10.0,28.0,3594.7262090909094,17.54972727272727,,,,2017.0,28.0,10.0
10.0,29.0,3556.6853818181817,17.482545454545455,,,,2017.0,29.0,10.0
